sku,product_name,category,matched_source,match_type,match_confidence,fields_extracted,fields_tbd,fields_conflicted,company_level_values_rejected,verification_status,manual_review_required,recommended_action
GS-WRA-001,Custom Wire Rope Cable Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,strong,medium,construction;material;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;moq;production_lead_time;customization_options,material_grade;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;packaging;drawing_file;datasheet_file,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-WRA-002,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,partial,low,,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file,construction;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;moq;production_lead_time;customization_options;material,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-WRA-003,Galvanized Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-wire-rope-cable.html,partial,low,,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file,construction;material;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;moq;production_lead_time;customization_options,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-WRA-004,PVC Coated Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/pvc-coated-galvanized-wire-with-hook.html,partial,low,,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file,material;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;production_lead_time;packaging;customization_options;coating_material,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-WRA-005,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,https://www.wireropeassy.com/showroom/rope-assemblies/,partial,low,,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;end_a_type;end_a_dimensions;end_b_type;end_b_dimensions,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-WRA-006,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-cable-harness-carabiner-snap-hook.html,partial,low,,construction;material;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;moq;sample_lead_time;production_lead_time;packaging;customization_options;drawing_file;datasheet_file,end_a_type,4,unverified,yes,Confirm product identity before accepting any candidate value.
GS-LAN-001,Coiled Tool Safety Lanyard,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,strong,high,material;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;end_a_type;end_b_type;moq;customization_options,construction;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_thread;end_a_dimensions;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;retracted_length_mm;extended_length_mm,length_max_mm;retracted_length_mm;breaking_load,4,incomplete,yes,Resolve conflicts and confirm the selected configuration before review.
GS-LAN-002,Tool Lanyard with Carabiner,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/tool-lanyards-safety-retractable-coiled.html,exact,high,material;coating_material;coating_color;moq;customization_options,construction;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;finished_diameter_min_mm;finished_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_type;end_a_thread;end_a_dimensions;end_b_type;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;retracted_length_mm;extended_length_mm,length_max_mm,4,incomplete,yes,Resolve conflicts and confirm the selected configuration before review.
GS-LAN-003,Tool Lanyard with Dual Hooks,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/tools-safety-lanyard/direct-sells-double-flow-hook-diving-spring.html,exact,high,construction;material;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;coating_material;length_min_mm;length_max_mm;end_a_type;end_b_type;moq;customization_options,material_grade;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_thread;end_a_dimensions;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;retracted_length_mm;extended_length_mm,,4,incomplete,yes,Verify extracted options against the intended Gaoshuo configuration before review.
GS-LAN-004,Spring Coil Safety Lanyard,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,strong,medium,material;coating_material;coating_color;finished_diameter_min_mm;finished_diameter_max_mm;end_a_type;end_b_type;moq;customization_options,construction;material_grade;wire_rope_diameter_min_mm;wire_rope_diameter_max_mm;length_min_mm;length_max_mm;length_tolerance;core;lay_direction;surface_finish;end_a_thread;end_a_dimensions;end_b_thread;end_b_dimensions;breaking_load;working_load;load_unit;applicable_standard;sample_lead_time;production_lead_time;packaging;drawing_file;datasheet_file;retracted_length_mm;extended_length_mm,length_max_mm;retracted_length_mm,4,incomplete,yes,Resolve conflicts and confirm the selected configuration before review.
