sku,product_slug,product_name,category,source_url,secondary_source_url,source_product_name,match_type,match_confidence,match_reason,parameter_conflict,review_status,notes
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-tab-lock-snapper-pin.html,Galvanized Steel Braided Cable,strong,medium,"Same customizable wire-rope assembly function with explicit construction, material, coating and fitting options.",no,manual-review,"Broad custom assembly source; values represent listed options, not a single default configuration."
GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,,Galvanized Steel Braided Cable,partial,low,The page lists stainless steel as an option but is not a dedicated stainless assembly variant.,no,manual-review,Candidate only; formal fields remain TBD.
GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-wire-rope-cable.html,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,Galvanized Steel Wire Rope Cable,partial,low,A likely galvanized variant was found but the detail page could not be read; the secondary page is multi-material.,no,manual-review,No reliable detail-page evidence accepted.
GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/pvc-coated-galvanized-wire-with-hook.html,https://m.wireropeassy.com/wire-rope-assembly/plastic-coated-steel-cable-for-sport.html,PVC Coated Galvanized Wire With Hook,partial,low,The likely page failed to load and the readable mobile page has a different sport-cable application.,yes,manual-review,Candidate values are not written to the formal table.
GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,https://www.wireropeassy.com/showroom/rope-assemblies/,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/eye-wire-rope-grommet-slings.html,Steel Wire Rope Assembly With Two Eyelets,partial,low,The two-eyelet item appears only in a showroom listing and the product-detail candidate could not be read.,no,manual-review,Showroom/category-level reference only.
GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,https://www.wireropeassy.com/wire-rope-assembly/steel-cable-harness-carabiner-snap-hook.html,,Steel Cable Harness Carabiner Snap Hook,partial,low,"Core end fitting appears to match, but the detail page could not be read reliably.",no,manual-review,No formal parameters accepted.
GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,,Coil Steel Tool Tether Lanyard,strong,high,Same coiled tool-tether function with hook-to-hook construction.,yes,manual-review,Length and extension statements conflict; only non-conflicting fields are accepted.
GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/tool-lanyards-safety-retractable-coiled.html,,Plastic Coil Lanyard With Carabiner,exact,high,Same coiled lanyard function and carabiner feature.,yes,manual-review,Length text has inconsistent units and remains TBD.
GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/tools-safety-lanyard/direct-sells-double-flow-hook-diving-spring.html,,Double Flow Hook Spring Coil Tool Rope,exact,high,Same coiled safety lanyard with dual-hook identity.,no,manual-review,Multiple listed material and coating options are preserved as options.
GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,https://www.wireropeassy.com/tool-lanyard/tools-safety-lanyard/coil-lanyard-tether-of-air-bag-suit.html,Coil Steel Tool Tether Lanyard,strong,medium,Same spring-coil safety tether construction; secondary page has a different airbag application.,yes,manual-review,Length remains TBD because the primary page conflicts.
