sku,product_slug,field_name,extracted_value,normalized_value,source_url,source_page_title,source_section,source_text,source_type,confidence,conflict_status,use_status,checked_at,notes
GS-WRA-001,custom-wire-rope-cable-assembly,construction,1x7;7x7;7x19;1x19,1x7;7x7;7x19;1x19,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,Galvanized Steel Braided Cable,Product Details,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",product-page,medium,none,accepted,2026-07-18,Listed configuration options; no single default configuration selected.
GS-WRA-001,custom-wire-rope-cable-assembly,material,Galvanized Steel;Stainless Steel,Galvanized Steel;Stainless Steel,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,Galvanized Steel Braided Cable,Product Details,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",product-page,medium,none,accepted,2026-07-18,Listed configuration options; no single default configuration selected.
GS-WRA-001,custom-wire-rope-cable-assembly,wire_rope_diameter_min_mm,0.6,0.6,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,Galvanized Steel Braided Cable,Product Details,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",product-page,medium,none,accepted,2026-07-18,Listed configuration options; no single default configuration selected.
GS-WRA-001,custom-wire-rope-cable-assembly,wire_rope_diameter_max_mm,11,11,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,Galvanized Steel Braided Cable,Product Details,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",product-page,medium,none,accepted,2026-07-18,Listed configuration options; no single default configuration selected.
GS-WRA-001,custom-wire-rope-cable-assembly,coating_material,PVC;PU;Nylon;PE,PVC;PU;Nylon;PE,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,Galvanized Steel Braided Cable,Product Details,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",product-page,medium,none,accepted,2026-07-18,Listed configuration options; no single default configuration selected.
GS-WRA-001,custom-wire-rope-cable-assembly,coating_color,Red;Yellow;Purple;Orange;Fluorescent Pink;Black;Transparent,Red;Yellow;Purple;Orange;Fluorescent Pink;Black;Transparent,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,Galvanized Steel Braided Cable,Product Details,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",product-page,medium,none,accepted,2026-07-18,Listed configuration options; no single default configuration selected.
GS-WRA-001,custom-wire-rope-cable-assembly,moq,500 pcs,500 pcs,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,Galvanized Steel Braided Cable,Product Details,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",product-page,medium,none,accepted,2026-07-18,Listed configuration options; no single default configuration selected.
GS-WRA-001,custom-wire-rope-cable-assembly,production_lead_time,7 days when required materials are in stock,7 days when required materials are in stock,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,Galvanized Steel Braided Cable,Product Details,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",product-page,medium,none,accepted,2026-07-18,Listed configuration options; no single default configuration selected.
GS-WRA-001,custom-wire-rope-cable-assembly,customization_options,Diameter;Construction;Material;Coating;Coating Color;End Fittings,Diameter;Construction;Material;Coating;Coating Color;End Fittings,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,Galvanized Steel Braided Cable,Product Details,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",product-page,medium,none,accepted,2026-07-18,Listed configuration options; no single default configuration selected.
GS-LAN-001,coiled-tool-safety-lanyard,material,Stainless Steel,Stainless Steel,https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,Coil Steel Tool Tether Lanyard,Product Introduction and Specification,PU coated stainless steel tool tether; gray rope; diameter 5.0 mm; MOQ 500 pcs; aluminum hooks on both ends.,product-page,high,none,accepted,2026-07-18,Length values are excluded because the same page conflicts.
