sku,slug,product_name,short_description,category,construction,diameter_min_mm,diameter_max_mm,material,grade,finish,core,coating,lay,tensile_grade,breaking_load,tolerance,length_options,packaging,applications,customization,standards,certifications,moq,lead_time,image,gallery,datasheet,featured,status,seo_title,seo_description,verification_status,publishable,source_domain,source_url,migration_notes,product_type,end_fitting,features
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,"Custom Wire Rope Cable Assembly for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",wire-rope-assemblies,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,industrial-assemblies|control-cables,length|wire rope construction|diameter|end fitting|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,true,published,Custom Wire Rope Cable Assembly | Custom Cable Assembly | Gaoshuo,"Source configurable custom wire rope cable assembly from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,wire-rope assembly,custom terminal|loop|hook,custom length|material selection|terminal selection|drawing-based assembly
GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,"Stainless Steel Wire Rope Assembly for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",wire-rope-assemblies,,,,stainless steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,marine|architectural|industrial-assemblies,length|wire rope construction|diameter|end fitting|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,true,published,Stainless Steel Wire Rope Assembly | Custom Cable Assembly | Gaoshuo,"Source configurable stainless steel wire rope assembly from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,wire-rope assembly,eye loop|terminal|hook,corrosion-focused material option|custom terminal selection|cut-to-length assembly|drawing review
GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,"Galvanized Wire Rope Assembly for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",wire-rope-assemblies,,,,galvanized steel,,,,galvanized,,,,,Available on request,Please confirm packaging requirements with our team,industrial-assemblies|crane-and-lifting,length|wire rope construction|diameter|end fitting|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Galvanized Wire Rope Assembly | Custom Cable Assembly | Gaoshuo,"Source configurable galvanized wire rope assembly from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,wire-rope assembly,loop|thimble|hook,galvanized finish option|custom length|end fitting selection|packaging review
GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,"PVC Coated Wire Rope Assembly for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",wire-rope-assemblies,,,,steel|stainless steel,,,,PVC,,,,,Available on request,Please confirm packaging requirements with our team,security-cables|fitness-equipment|industrial-assemblies,length|wire rope construction|diameter|end fitting|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,true,published,PVC Coated Wire Rope Assembly | Custom Cable Assembly | Gaoshuo,"Source configurable pvc coated wire rope assembly from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,coated wire rope assembly,loop|hook|terminal,PVC coating option|color selection on request|custom length|fitting installation
GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,"Wire Rope Assembly with Eye Loops for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",wire-rope-assemblies,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,architectural|industrial-assemblies,length|wire rope construction|diameter|end fitting|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Wire Rope Assembly with Eye Loops | Custom Cable Assembly | Gaoshuo,"Source configurable wire rope assembly with eye loops from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,wire rope assembly,eye loop,loop end configuration|optional thimble support|custom cable length|assembly drawing review
GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,"Wire Rope Assembly with Carabiner Hook for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",wire-rope-assemblies,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,security-cables|industrial-assemblies,length|wire rope construction|diameter|end fitting|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,true,published,Wire Rope Assembly with Carabiner Hook | Custom Cable Assembly | Gaoshuo,"Source configurable wire rope assembly with carabiner hook from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,wire rope assembly,carabiner hook,hook attachment option|custom cable length|coated or uncoated cable options|application review
GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,"Coiled Tool Safety Lanyard for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",tool-safety-lanyards,,,,steel|stainless steel|galvanized steel,,,,PVC|PU,,,,,Available on request,Please confirm packaging requirements with our team,security-cables|industrial-assemblies,coil length|extended length|end fitting|coating color|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,true,published,Coiled Tool Safety Lanyard | Custom Cable Assembly | Gaoshuo,"Source configurable coiled tool safety lanyard from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,tool safety lanyard,carabiner|loop|split ring,coiled cable format|stretchable retention design|multiple end fittings|custom length review
GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,"Tool Lanyard with Carabiner for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",tool-safety-lanyards,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,security-cables|industrial-assemblies,lanyard length|carabiner type|coating|labeling|packaging,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Tool Lanyard with Carabiner | Custom Cable Assembly | Gaoshuo,"Source configurable tool lanyard with carabiner from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,tool safety lanyard,carabiner hook,carabiner attachment|coated cable option|custom length|bulk packaging review
GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,"Tool Lanyard with Dual Hooks for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",tool-safety-lanyards,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,security-cables|industrial-assemblies,hook type|cable length|coating color|terminal reinforcement,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Tool Lanyard with Dual Hooks | Custom Cable Assembly | Gaoshuo,"Source configurable tool lanyard with dual hooks from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,tool safety lanyard,dual hooks,two-end hook configuration|tool retention use|custom end fittings|drawing review
GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,"Spring Coil Safety Lanyard for B2B buyers who need configurable cable length, material, coating and fitting options based on drawings or application requirements.",tool-safety-lanyards,,,,steel|stainless steel|galvanized steel,,,,,,,,,Available on request,Please confirm packaging requirements with our team,security-cables|industrial-assemblies,coil diameter|extended length|end fitting|coating color,,,,,/images/placeholders/wire-rope-placeholder.svg,,,false,published,Spring Coil Safety Lanyard | Custom Cable Assembly | Gaoshuo,"Source configurable spring coil safety lanyard from Gaoshuo Steel Wire Rope. Confirm material, coating, fittings, length and application requirements before quotation.",source-approved,true,,,Migrated from approved source content and rewritten for Gaoshuo; source identity and contact data removed.,spring coil lanyard,loop|hook|ring,spring coil format|compact return length|custom attachment options|sample-based development
