source_url,mobile_source_url,source_title,source_category,source_product_name,page_status,parameter_section_found,drawing_found,datasheet_found,last_checked_at,notes
https://www.wireropeassy.com/,,Steel Wire Rope Assembly Manufacturer,company,,success,yes,no,no,2026-07-18,Company-level capability only; never applied to a SKU.
https://www.wireropeassy.com/about-us,,About Us,company,,success,yes,no,no,2026-07-18,Company-level capability only; never applied to a SKU.
https://www.wireropeassy.com/wire-rope-assembly/,,Wire Rope Assembly,category,,success,no,no,no,2026-07-18,Category discovery page.
https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/,,Steel Wire Rope,category,,success,no,no,no,2026-07-18,Category discovery page.
https://www.wireropeassy.com/wire-rope-assembly/steel-wire-tab-lock-snapper-pin.html,,Steel Wire TAB Lock Snapper Pin,wire-rope-assemblies,Steel Wire TAB Lock Snapper Pin,success,yes,no,no,2026-07-18,Specific snapper-pin lanyard; not a direct match for the generic assemblies.
https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,,Galvanized Steel Braided Cable,wire-rope-assemblies,Galvanized Steel Braided Cable,success,yes,no,no,2026-07-18,"Product page with material, construction, diameter, coating, MOQ and conditional lead time."
https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-wire-rope-cable.html,,Galvanized Steel Wire Rope Cable,wire-rope-assemblies,Galvanized Steel Wire Rope Cable,failed,unknown,no,no,2026-07-18,Discovered in category results; detail page could not be read reliably.
https://www.wireropeassy.com/wire-rope-assembly/steel-cable-harness-carabiner-snap-hook.html,,Steel Cable Harness Carabiner Snap Hook,wire-rope-assemblies,Steel Cable Harness Carabiner Snap Hook,failed,unknown,no,no,2026-07-18,Candidate page discovered; detail page could not be read reliably.
https://www.wireropeassy.com/wire-rope-assembly/pvc-coated-galvanized-wire-with-hook.html,,PVC Coated Galvanized Wire With Hook,wire-rope-assemblies,PVC Coated Galvanized Wire With Hook,failed,unknown,no,no,2026-07-18,Candidate page discovered; detail page could not be read reliably.
https://m.wireropeassy.com/wire-rope-assembly/plastic-coated-steel-cable-for-sport.html,,Plastic Coated Safety Steel Cable,wire-rope-assemblies,Plastic Coated Safety Steel Cable,success,yes,no,no,2026-07-18,Mobile product page; sport-cable application and mixed purpose text make it a category-level candidate.
https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/eye-wire-rope-grommet-slings.html,,Eye Wire Rope Grommet Slings,wire-rope-assemblies,Eye Wire Rope Grommet Slings,failed,unknown,no,no,2026-07-18,Candidate page discovered; detail page timed out.
https://www.wireropeassy.com/showroom/rope-assemblies/,,Rope Assemblies Showroom,wire-rope-assemblies,Steel Wire Rope Assembly With Two Eyelets,success,yes,no,no,2026-07-18,"Showroom/category listing only; values are candidates, not accepted SKU evidence."
https://www.wireropeassy.com/showroom/wire-rope-assemblies.html,,Wire Rope Assemblies Showroom,wire-rope-assemblies,Eye Wire Rope Grommet Slings,success,yes,no,no,2026-07-18,Showroom text has inconsistent product identity; candidate only.
https://www.wireropeassy.com/wire-rope-assembly/assembly-led-ceiling-down-lights.html,,Assembly LED Ceiling Down Lights,suspension-hanging-kits,Assembly LED Ceiling Down Lights,success,yes,no,no,2026-07-18,"Suspension product page; retained for discovery, not mapped to wire-rope assemblies."
https://www.wireropeassy.com/tool-lanyard/,,Tool Lanyard,category,,success,no,no,no,2026-07-18,Category discovery page.
https://www.wireropeassy.com/tool-lanyard/tools-safety-lanyard/,,Tools Safety Lanyard,category,,success,no,no,no,2026-07-18,Category discovery page.
https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,,Coil Steel Tool Tether Lanyard,tool-safety-lanyards,Coil Steel Tool Tether Lanyard,success,yes,no,no,2026-07-18,Product page; length statements conflict and are kept TBD.
https://www.wireropeassy.com/tool-lanyard/tool-lanyards-safety-retractable-coiled.html,,Plastic Coil Lanyard With Carabiner,tool-safety-lanyards,Plastic Coil Lanyard With Carabiner,success,yes,no,no,2026-07-18,Product page; printed length units conflict and are kept TBD.
https://www.wireropeassy.com/tool-lanyard/tools-safety-lanyard/direct-sells-double-flow-hook-diving-spring.html,,Double Flow Hook Spring Coil Tool Rope,tool-safety-lanyards,Double Flow Hook Spring Coil Tool Rope,success,yes,no,no,2026-07-18,"Product page with diameter, construction, material options, length, coating options and MOQ."
https://www.wireropeassy.com/tool-lanyard/tools-safety-lanyard/coil-lanyard-tether-of-air-bag-suit.html,,Coil Lanyard Tether Of Air Bag Suit,tool-safety-lanyards,Coil Lanyard Tether Of Air Bag Suit,success,yes,no,no,2026-07-18,Different application; candidate only.
https://www.wireropeassy.com/tool-lanyard/quick-release-buckle-lanyards.html,,Quick Release Buckle Lanyards,tool-safety-lanyards,Quick Release Buckle Lanyards,success,yes,no,no,2026-07-18,Different end fitting; candidate only.
https://www.wireropeassy.com/suspension-hanging-kit/,,Suspension Hanging Kit,category,,success,no,no,no,2026-07-18,Category discovery page.
https://www.wireropeassy.com/suspension-hanging-kit/accessories-nylon-led-lighting-hanging-kit.html,,LED Lighting Suspension Cables Hanging Kit,suspension-hanging-kits,LED Lighting Suspension Cables Hanging Kit,success,yes,no,no,2026-07-18,Mixed spring and suspension text; conflicting sections are not accepted.
https://www.wireropeassy.com/suspension-hanging-kit/standard-hanger-wire-hanging-kit-suspension.html,,Suspension Wire Hanging With Spring Hook,suspension-hanging-kits,Suspension Wire Hanging With Spring Hook,success,yes,no,no,2026-07-18,"Product page with cable material, length, diameter, components and MOQ."
https://www.wireropeassy.com/suspension-hanging-kit/steel-wire-ceiling-suspension-kits.html,,Steel Wire Ceiling Suspension Kits,suspension-hanging-kits,Steel Wire Ceiling Suspension Kits,success,yes,no,no,2026-07-18,Product page has conflicting length statements; candidate only for conflicting fields.
https://www.wireropeassy.com/suspension-hanging-kit/adjustable-cable-gripper-hanging-wire.html,,Adjustable Cable Gripper Hanging Wire,suspension-hanging-kits,Adjustable Cable Gripper Hanging Wire,success,yes,no,no,2026-07-18,Direct cable-gripper kit product page.
https://www.wireropeassy.com/suspension-hanging-kit/steel-wire-accessory-ceiling-light-hanging.html,,Steel Wire Accessory Ceiling Light Hanging,suspension-hanging-kits,Steel Wire Accessory Ceiling Light Hanging,success,yes,no,no,2026-07-18,"Product page contains diameter, length and material variants; secondary candidate."
https://www.wireropeassy.com/suspension-hanging-kit/y-leg-hanging-kit-for-led-panel-lights.html,,Y-Leg Hanging Kit For LED Panel Lights,suspension-hanging-kits,Y-Leg Hanging Kit For LED Panel Lights,success,yes,no,no,2026-07-18,Direct LED-panel suspension product page.
