sku,product_slug,product_name,category,match_type,match_confidence,formal_verification_status,candidate_field_count,candidate_only_field_count,conflict_field_count,unresolved_tbd_count,internal_status,source_urls,notes,construction,material,material_grade,wire_rope_diameter_min_mm,wire_rope_diameter_max_mm,coating_material,coating_color,finished_diameter_min_mm,finished_diameter_max_mm,length_min_mm,length_max_mm,length_tolerance,core,lay_direction,surface_finish,end_a_type,end_a_thread,end_a_dimensions,end_b_type,end_b_thread,end_b_dimensions,breaking_load,working_load,load_unit,applicable_standard,moq,sample_lead_time,production_lead_time,packaging,customization_options,drawing_file,datasheet_file,retracted_length_mm,extended_length_mm,upper_fitting,lower_fitting,gripper_type,inner_cable,outer_casing,stroke_mm,compatible_wire_rope_diameter_min_mm,compatible_wire_rope_diameter_max_mm
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,strong,medium,incomplete,9,0,0,23,manual-review-only,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",1x7;7x7;7x19;1x19,Galvanized Steel;Stainless Steel,TBD,0.6,11,PVC;PU;Nylon;PE,Red;Yellow;Purple;Orange;Fluorescent Pink;Black;Transparent,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,7 days when required materials are in stock,TBD,Diameter;Construction;Material;Coating;Coating Color;End Fittings,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,partial,low,unverified,9,9,9,23,manual-review-only,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",CANDIDATE: 1x7;7x7;7x19;1x19,CANDIDATE: Stainless Steel,TBD,CANDIDATE: 0.6,CANDIDATE: 11,CANDIDATE: PVC;PU;Nylon;PE,CANDIDATE: Red;Yellow;Purple;Orange;Fluorescent Pink;Black;Transparent,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,CANDIDATE: 500 pcs,TBD,CANDIDATE: 7 days when required materials are in stock,TBD,CANDIDATE: Diameter;Construction;Material;Coating;Coating Color;End Fittings,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,wire-rope-assemblies,partial,low,unverified,9,9,9,23,manual-review-only,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html;https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-wire-rope-cable.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",CANDIDATE: 1x7;7x7;7x19;1x19,CANDIDATE: Galvanized Steel,TBD,CANDIDATE: 0.6,CANDIDATE: 11,CANDIDATE: PVC;PU;Nylon;PE,CANDIDATE: Red;Yellow;Purple;Orange;Fluorescent Pink;Black;Transparent,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,CANDIDATE: 500 pcs,TBD,CANDIDATE: 7 days when required materials are in stock,TBD,CANDIDATE: Diameter;Construction;Material;Coating;Coating Color;End Fittings,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,wire-rope-assemblies,partial,low,unverified,7,7,7,25,manual-review-only,https://m.wireropeassy.com/wire-rope-assembly/plastic-coated-steel-cable-for-sport.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,CANDIDATE: Galvanized Steel,TBD,CANDIDATE: 3,CANDIDATE: 10,CANDIDATE: PVC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,CANDIDATE: 15 days,CANDIDATE: Standard export carton,CANDIDATE: Length;Coating Material,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,partial,low,unverified,13,13,13,19,manual-review-only,https://www.wireropeassy.com/showroom/rope-assemblies/,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",CANDIDATE: 7x7,CANDIDATE: Stainless Steel,CANDIDATE: AISI 304,CANDIDATE: 1.5,CANDIDATE: 1.5,CANDIDATE: PVC,CANDIDATE: Transparent,CANDIDATE: 2.5,CANDIDATE: 2.5,TBD,TBD,TBD,TBD,TBD,TBD,CANDIDATE: Eyelet,TBD,CANDIDATE: 15 x 4 x 1.7 mm,CANDIDATE: Eyelet,TBD,CANDIDATE: 15 x 4 x 1.7 mm,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,partial,low,unverified,1,1,1,31,manual-review-only,https://www.wireropeassy.com/wire-rope-assembly/steel-cable-harness-carabiner-snap-hook.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,CANDIDATE: Carabiner Snap Hook,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,tool-safety-lanyards,strong,high,incomplete,11,2,2,23,manual-review-only,https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,Stainless Steel,TBD,TBD,TBD,PU,Gray,5,5,TBD,CONFLICT: 1200 || 1500,TBD,TBD,TBD,TBD,Aluminum Hook,TBD,TBD,Aluminum Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Color;End Hooks,TBD,TBD,CONFLICT: 110 || 1500,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,tool-safety-lanyards,exact,high,incomplete,6,1,1,28,manual-review-only,https://www.wireropeassy.com/tool-lanyard/tool-lanyards-safety-retractable-coiled.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,Stainless Steel,TBD,TBD,TBD,PVC,Purple,TBD,TBD,TBD,CONFLICT: 1200 || 101.6,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Color;Carabiner;Hook-and-loop Attachment,TBD,TBD,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,tool-safety-lanyards,exact,high,incomplete,11,0,0,23,manual-review-only,https://www.wireropeassy.com/tool-lanyard/tools-safety-lanyard/direct-sells-double-flow-hook-diving-spring.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",7x19,Stainless Steel;Galvanized Steel,TBD,2,2,PVC;PU;PE;Nylon,TBD,TBD,TBD,1000,3000,TBD,TBD,TBD,TBD,Hook,TBD,TBD,Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Coating Material;End Hooks,TBD,TBD,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,strong,medium,incomplete,11,2,2,23,manual-review-only,https://www.wireropeassy.com/tool-lanyard/hook2hook-coil-tether-spring-cable-tool.html,"Internal candidate sheet only. Not connected to product pages, formal specifications or Product Schema.",TBD,Stainless Steel,TBD,TBD,TBD,PU,Gray,5,5,TBD,CONFLICT: 1200 || 1500,TBD,TBD,TBD,TBD,Aluminum Hook,TBD,TBD,Aluminum Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Color;End Hooks,TBD,TBD,CONFLICT: 110 || 1500,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
