SKU,产品Slug,产品名称,钢丝绳结构,材质,材质牌号,钢丝绳最小直径mm,钢丝绳最大直径mm,包胶材质,包胶颜色,包胶后最小直径mm,包胶后最大直径mm,最小长度mm,最大长度mm,长度公差,芯材,捻向,表面处理,A端类型,A端螺纹,A端主要尺寸,B端类型,B端螺纹,B端主要尺寸,最小破断拉力,工作载荷,载荷单位,适用标准,MOQ,样品交期,批量交期,包装方式,可定制项目,图纸文件,数据表文件,验证状态,审核人,审核日期,备注,收缩长度mm,伸展长度mm,上端配件,下端配件,夹持器类型,内芯钢丝,外护套,行程mm,适配钢丝绳最小直径mm,适配钢丝绳最大直径mm
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,1x7;7x7;7x19;1x19,Galvanized Steel;Stainless Steel,TBD,0.6,11,PVC;PU;Nylon;PE,Red;Yellow;Purple;Orange;Fluorescent Pink;Black;Transparent,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,7 days when required materials are in stock,TBD,Diameter;Construction;Material;Coating;Coating Color;End Fittings,TBD,TBD,不完整,,,参考来源URL：见 data/product-specification-sources.csv；匹配类型：strong；匹配置信度：medium；存在冲突：否；需要人工确认：是,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,未验证,,,参考来源URL：见 data/product-specification-sources.csv；匹配类型：partial；匹配置信度：low；存在冲突：否；需要人工确认：是,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,未验证,,,参考来源URL：见 data/product-specification-sources.csv；匹配类型：partial；匹配置信度：low；存在冲突：否；需要人工确认：是,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,未验证,,,参考来源URL：见 data/product-specification-sources.csv；匹配类型：partial；匹配置信度：low；存在冲突：是；需要人工确认：是,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,未验证,,,参考来源URL：见 data/product-specification-sources.csv；匹配类型：partial；匹配置信度：low；存在冲突：否；需要人工确认：是,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,未验证,,,参考来源URL：见 data/product-specification-sources.csv；匹配类型：partial；匹配置信度：low；存在冲突：否；需要人工确认：是,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,TBD,Stainless Steel,TBD,TBD,TBD,PU,Gray,5,5,TBD,TBD,TBD,TBD,TBD,TBD,Aluminum Hook,TBD,TBD,Aluminum Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Color;End Hooks,TBD,TBD,不完整,,,参考来源URL：见 data/product-specification-sources.csv；匹配类型：strong；匹配置信度：high；存在冲突：是；需要人工确认：是,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,TBD,Stainless Steel,TBD,TBD,TBD,PVC,Purple,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Color;Carabiner;Hook-and-loop Attachment,TBD,TBD,不完整,,,参考来源URL：见 data/product-specification-sources.csv；匹配类型：exact；匹配置信度：high；存在冲突：是；需要人工确认：是,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,7x19,Stainless Steel;Galvanized Steel,TBD,2,2,PVC;PU;PE;Nylon,TBD,TBD,TBD,1000,3000,TBD,TBD,TBD,TBD,Hook,TBD,TBD,Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Coating Material;End Hooks,TBD,TBD,不完整,,,参考来源URL：见 data/product-specification-sources.csv；匹配类型：exact；匹配置信度：high；存在冲突：否；需要人工确认：是,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,TBD,Stainless Steel,TBD,TBD,TBD,PU,Gray,5,5,TBD,TBD,TBD,TBD,TBD,TBD,Aluminum Hook,TBD,TBD,Aluminum Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Color;End Hooks,TBD,TBD,不完整,,,参考来源URL：见 data/product-specification-sources.csv；匹配类型：strong；匹配置信度：medium；存在冲突：是；需要人工确认：是,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
