sku,product_name,category,total_applicable_fields,confirmed_fields,tbd_fields,na_fields,completion_percentage,verification_status,missing_critical_fields,publish_risk,recommended_action
GS-WRA-001,Custom Wire Rope Cable Assembly,wire-rope-assemblies,32,9,23,10,28.1,incomplete,material_grade;length;end_fittings;load;standard,critical,"Confirm critical fields: material_grade, length, end_fittings, load, standard."
GS-WRA-002,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,32,0,32,10,0.0,unverified,material;material_grade;construction;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, construction, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-WRA-003,Galvanized Wire Rope Assembly,wire-rope-assemblies,32,0,32,10,0.0,unverified,material;material_grade;construction;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, construction, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-WRA-004,PVC Coated Wire Rope Assembly,wire-rope-assemblies,32,0,32,10,0.0,unverified,material;material_grade;construction;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, construction, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-WRA-005,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,32,0,32,10,0.0,unverified,material;material_grade;construction;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, construction, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-WRA-006,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,32,0,32,10,0.0,unverified,material;material_grade;construction;diameter;length;end_fittings;load;standard;moq;lead_time,critical,"Confirm critical fields: material, material_grade, construction, diameter, length, end_fittings, load, standard, moq, lead_time."
GS-LAN-001,Coiled Tool Safety Lanyard,tool-safety-lanyards,31,9,25,8,29.0,incomplete,material_grade;diameter;length;load;standard;lead_time,critical,"Confirm critical fields: material_grade, diameter, length, load, standard, lead_time."
GS-LAN-002,Tool Lanyard with Carabiner,tool-safety-lanyards,31,5,29,8,16.1,incomplete,material_grade;diameter;length;end_fittings;load;standard;lead_time,critical,"Confirm critical fields: material_grade, diameter, length, end_fittings, load, standard, lead_time."
GS-LAN-003,Tool Lanyard with Dual Hooks,tool-safety-lanyards,31,10,23,8,32.3,incomplete,material_grade;load;standard;lead_time,medium,"Confirm critical fields: material_grade, load, standard, lead_time."
GS-LAN-004,Spring Coil Safety Lanyard,tool-safety-lanyards,31,9,25,8,29.0,incomplete,material_grade;diameter;length;load;standard;lead_time,critical,"Confirm critical fields: material_grade, diameter, length, load, standard, lead_time."
