sku,product_slug,product_name,category,source_folder,target_folder,main_image,gallery_images,main_alt,gallery_alt,status,notes
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/custom-wire-rope-cable-assembly/,/images/products/custom-wire-rope-cable-assembly/,/images/products/custom-wire-rope-cable-assembly/main.webp,,Custom Wire Rope Cable Assembly,,published,Formal WebP files generated; page and build validation passed.
GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/stainless-steel-wire-rope-assembly/,/images/products/stainless-steel-wire-rope-assembly/,/images/products/stainless-steel-wire-rope-assembly/main.webp,,Stainless Steel Wire Rope Assembly,,published,Formal WebP files generated; page and build validation passed.
GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/galvanized-wire-rope-assembly/,/images/products/galvanized-wire-rope-assembly/,/images/products/galvanized-wire-rope-assembly/main.webp,/images/products/galvanized-wire-rope-assembly/detail-02.webp|/images/products/galvanized-wire-rope-assembly/detail-03.webp|/images/products/galvanized-wire-rope-assembly/detail-04.webp,Galvanized Wire Rope Assembly,Close-up of Galvanized Wire Rope Assembly|Close-up of Galvanized Wire Rope Assembly|Close-up of Galvanized Wire Rope Assembly,published,Formal WebP files generated; page and build validation passed.
GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,wire-rope-assemblies,image-import/wire-rope-assemblies/pvc-coated-wire-rope-assembly/,/images/products/pvc-coated-wire-rope-assembly/,/images/products/pvc-coated-wire-rope-assembly/main.webp,,PVC Coated Wire Rope Assembly,,published,Formal WebP files generated; page and build validation passed.
GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,wire-rope-assemblies,image-import/wire-rope-assemblies/wire-rope-assembly-with-eye-loops/,/images/products/wire-rope-assembly-with-eye-loops/,/images/products/wire-rope-assembly-with-eye-loops/main.webp,,Wire Rope Assembly with Eye Loops,,published,Formal WebP files generated; page and build validation passed.
GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,wire-rope-assemblies,image-import/wire-rope-assemblies/wire-rope-assembly-with-carabiner-hook/,/images/products/wire-rope-assembly-with-carabiner-hook/,/images/products/wire-rope-assembly-with-carabiner-hook/main.webp,/images/products/wire-rope-assembly-with-carabiner-hook/terminal-02.webp|/images/products/wire-rope-assembly-with-carabiner-hook/terminal-03.webp|/images/products/wire-rope-assembly-with-carabiner-hook/terminal-04.webp,Wire Rope Assembly with Carabiner Hook,Terminal detail on Wire Rope Assembly with Carabiner Hook|Terminal detail on Wire Rope Assembly with Carabiner Hook|Terminal detail on Wire Rope Assembly with Carabiner Hook,published,Formal WebP files generated; page and build validation passed.
GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/coiled-tool-safety-lanyard/,/images/products/coiled-tool-safety-lanyard/,/images/products/coiled-tool-safety-lanyard/main.webp,,Coiled Tool Safety Lanyard,,published,Formal WebP files generated; page and build validation passed.
GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,tool-safety-lanyards,image-import/tool-safety-lanyards/tool-lanyard-with-carabiner/,/images/products/tool-lanyard-with-carabiner/,/images/products/tool-lanyard-with-carabiner/main.webp,,Tool Lanyard with Carabiner,,published,Formal WebP files generated; page and build validation passed.
GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,tool-safety-lanyards,image-import/tool-safety-lanyards/tool-lanyard-with-dual-hooks/,/images/products/tool-lanyard-with-dual-hooks/,/images/products/tool-lanyard-with-dual-hooks/main.webp,,Tool Lanyard with Dual Hooks,,published,Formal WebP files generated; page and build validation passed.
GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,tool-safety-lanyards,image-import/tool-safety-lanyards/spring-coil-safety-lanyard/,/images/products/spring-coil-safety-lanyard/,/images/products/spring-coil-safety-lanyard/main.webp,,Spring Coil Safety Lanyard,,published,Formal WebP files generated; page and build validation passed.
